Year,Race,Driver,Team,LapNumber,LapTime_seconds,Position,TireCompound,TireAge,PositionGroup,driver_win_rate,start_position,positions_gained,tire_degradation,race_phase,team_reliability
2025,16,NOR,McLaren,52.0,81.259,2.0,SOFT,8.0,Top 5,0.0,2.0,0.0,-0.055999999999997385,Late,83.33333333333334
2025,16,NOR,McLaren,53.0,80.901,2.0,SOFT,9.0,Top 5,0.0,2.0,0.0,-0.3580000000000041,Late,83.33333333333334
2025,16,PIA,McLaren,1.0,87.992,3.0,MEDIUM,1.0,Top 5,0.0,3.0,0.0,-0.018999999999991246,Early,83.33333333333334
2025,16,PIA,McLaren,2.0,85.759,4.0,MEDIUM,2.0,Top 5,0.0,3.0,-1.0,-2.233000000000004,Early,83.33333333333334
2025,16,PIA,McLaren,3.0,85.117,4.0,MEDIUM,3.0,Top 5,0.0,3.0,-1.0,-0.6419999999999959,Early,83.33333333333334
2025,16,PIA,McLaren,4.0,84.567,4.0,MEDIUM,4.0,Top 5,0.0,3.0,-1.0,-0.5500000000000114,Early,83.33333333333334
2025,16,PIA,McLaren,5.0,84.358,4.0,MEDIUM,5.0,Top 5,0.0,3.0,-1.0,-0.20899999999998897,Early,83.33333333333334
2025,16,PIA,McLaren,6.0,83.679,3.0,MEDIUM,6.0,Top 5,0.0,3.0,0.0,-0.679000000000002,Early,83.33333333333334
2025,16,PIA,McLaren,7.0,83.738,3.0,MEDIUM,7.0,Top 5,0.0,3.0,0.0,0.0589999999999975,Early,83.33333333333334
2025,16,PIA,McLaren,8.0,83.949,3.0,MEDIUM,8.0,Top 5,0.0,3.0,0.0,0.21099999999999852,Early,83.33333333333334
2025,16,PIA,McLaren,9.0,83.685,3.0,MEDIUM,9.0,Top 5,0.0,3.0,0.0,-0.2639999999999958,Early,83.33333333333334
2025,16,PIA,McLaren,10.0,83.461,3.0,MEDIUM,10.0,Top 5,0.0,3.0,0.0,-0.22400000000000375,Early,83.33333333333334
2025,16,PIA,McLaren,11.0,83.897,3.0,MEDIUM,11.0,Top 5,0.0,3.0,0.0,0.43600000000000705,Early,83.33333333333334
2025,16,PIA,McLaren,12.0,83.486,3.0,MEDIUM,12.0,Top 5,0.0,3.0,0.0,-0.41100000000000136,Early,83.33333333333334
2025,16,PIA,McLaren,13.0,83.598,3.0,MEDIUM,13.0,Top 5,0.0,3.0,0.0,0.11199999999999477,Early,83.33333333333334
2025,16,PIA,McLaren,14.0,83.662,3.0,MEDIUM,14.0,Top 5,0.0,3.0,0.0,0.06400000000000716,Early,83.33333333333334
2025,16,PIA,McLaren,15.0,83.385,3.0,MEDIUM,15.0,Top 5,0.0,3.0,0.0,-0.277000000000001,Early,83.33333333333334
2025,16,PIA,McLaren,16.0,83.137,3.0,MEDIUM,16.0,Top 5,0.0,3.0,0.0,-0.24800000000000466,Middle,83.33333333333334
2025,16,PIA,McLaren,17.0,83.336,3.0,MEDIUM,17.0,Top 5,0.0,3.0,0.0,0.19899999999999807,Middle,83.33333333333334
2025,16,PIA,McLaren,18.0,83.259,3.0,MEDIUM,18.0,Top 5,0.0,3.0,0.0,-0.07699999999999818,Middle,83.33333333333334
2025,16,PIA,McLaren,19.0,83.359,3.0,MEDIUM,19.0,Top 5,0.0,3.0,0.0,0.09999999999999432,Middle,83.33333333333334
2025,16,PIA,McLaren,20.0,83.225,3.0,MEDIUM,20.0,Top 5,0.0,3.0,0.0,-0.13400000000000034,Middle,83.33333333333334
2025,16,PIA,McLaren,21.0,82.956,3.0,MEDIUM,21.0,Top 5,0.0,3.0,0.0,-0.26899999999999125,Middle,83.33333333333334
2025,16,PIA,McLaren,22.0,82.883,3.0,MEDIUM,22.0,Top 5,0.0,3.0,0.0,-0.0730000000000075,Middle,83.33333333333334
2025,16,PIA,McLaren,23.0,82.957,3.0,MEDIUM,23.0,Top 5,0.0,3.0,0.0,0.07399999999999807,Middle,83.33333333333334
2025,16,PIA,McLaren,24.0,82.744,3.0,MEDIUM,24.0,Top 5,0.0,3.0,0.0,-0.21299999999999386,Middle,83.33333333333334
